occurrence_id,species,countryCode,location,source,longitude,latitude,tas_mean_c,prec_mean_annual,elevation_m,ecosystem_code,Temperatur,Moisture,Landcover,Landforms,Climate_Re,Red,Green,Blue,W_Ecosystm,color
3251,Vespa velutina,BE,NA,gbif,4.04,51.05,11.473076923076974,57.69230769230769,3,161,Warm Temperate,Moist,Settlement,Plains,Warm Temperate Moist,163,170,28,Warm Temperate Moist Settlement on Plains,#A3AA1C
3252,Vespa velutina,NL,NA,gbif,5.85,51.95,NA,NA,5,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702
3253,Vespa velutina,BE,NA,gbif,4.48,51.13,11.442307692307736,56.92307692307692,16,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702
3254,Vespa velutina,BE,NA,gbif,4.65,50.81,11.250000000000057,48.23076923076923,46,108,Cool Temperate,Moist,Settlement,Hills,Cool Temperate Moist,67,109,14,Cool Temperate Moist Settlement on Hills,#436D0E
3255,Vespa velutina,ES,NA,gbif,-2,43.3,14.75,164.07692307692307,53,173,Warm Temperate,Moist,Cropland,Mountains,Warm Temperate Moist,100,150,37,Warm Temperate Moist Cropland on Mountains,#649625
3256,Vespa velutina,BE,NA,gbif,5.23,50.16,10.642307692307782,71.76923076923077,229,110,Cool Temperate,Moist,Cropland,Hills,Cool Temperate Moist,33,144,30,Cool Temperate Moist Cropland on Hills,#21901E
3257,Vespa velutina,NL,NA,gbif,6,51.2,NA,NA,24,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702
3258,Vespa velutina,NA,"Loire-Atlantique, Pays de la Loire, France",inat,-1.55,47.24,12.957692307692357,79.53846153846153,20,166,Warm Temperate,Moist,Forest,Plains,Warm Temperate Moist,45,158,6,Warm Temperate Moist Forest on Plains,#2D9E06
3259,Vespa velutina,NA,"17834 Porqueres, Girona, Spain",inat,2.74,42.12,14.365384615384642,95.6153846153846,281,173,Warm Temperate,Moist,Cropland,Mountains,Warm Temperate Moist,100,150,37,Warm Temperate Moist Cropland on Mountains,#649625
3260,Vespa velutina,BE,NA,gbif,4.42,51.29,11.450000000000044,60.30769230769231,5,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
3261,Vespa velutina,DE,NA,gbif,6.25,51.28,11.296153846153857,53.92307692307692,51,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702
3262,Vespa velutina,NA,"Darmstadt-Arheilgen Am Trinkbrunnenpfad, 64291 Darmstadt, Deutschland",inat,8.67,49.91,11.296153846153857,55.15384615384615,135,108,Cool Temperate,Moist,Settlement,Hills,Cool Temperate Moist,67,109,14,Cool Temperate Moist Settlement on Hills,#436D0E
3263,Vespa velutina,BE,NA,gbif,3.1,51.06,11.380769230769316,68.76923076923077,21,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702
3264,Vespa velutina,BE,NA,gbif,4.48,51.13,NA,NA,16,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702
3265,Vespa velutina,NL,NA,gbif,4.6,51.95,11.057692307692378,74.07692307692308,-3,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
3266,Vespa velutina,NA,"11220 Lagrasse, Francia",inat,2.62,43.09,14.53461538461545,54.84615384615385,147,172,Warm Temperate,Moist,Settlement,Mountains,Warm Temperate Moist,105,89,18,Warm Temperate Moist Settlement on Mountains,#695912
3267,Vespa velutina,NL,NA,gbif,3.95,51.2,NA,NA,3,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
3268,Vespa velutina,NA,"5255 Sandweiler, Luxembourg",inat,6.22,49.62,9.949999999999989,71.53846153846153,348,102,Cool Temperate,Moist,Cropland,Tablelands,Cool Temperate Moist,99,97,160,Cool Temperate Moist Cropland on Tablelands,#6361A0
3269,Vespa velutina,NL,NA,gbif,5.9,50.9,NA,NA,83,110,Cool Temperate,Moist,Cropland,Hills,Cool Temperate Moist,33,144,30,Cool Temperate Moist Cropland on Hills,#21901E
3270,Vespa velutina,DE,NA,gbif,8.38,49,11.942307692307736,56.15384615384615,121,161,Warm Temperate,Moist,Settlement,Plains,Warm Temperate Moist,163,170,28,Warm Temperate Moist Settlement on Plains,#A3AA1C
3271,Vespa velutina,NA,"Carnide, Lisboa, Portugal",inat,-9.19,38.76,15.980769230769283,38.61538461538461,99,169,Warm Temperate,Moist,Settlement,Hills,Warm Temperate Moist,136,158,52,Warm Temperate Moist Settlement on Hills,#889E34
3272,Vespa velutina,DE,NA,gbif,8.67,49.45,NA,NA,125,172,Warm Temperate,Moist,Settlement,Mountains,Warm Temperate Moist,105,89,18,Warm Temperate Moist Settlement on Mountains,#695912
3273,Vespa velutina,NA,"Avenida Principal, O Porriño, Pontevedra, ES",inat,-8.62,42.1,15.042307692307702,118.6153846153846,18,172,Warm Temperate,Moist,Settlement,Mountains,Warm Temperate Moist,105,89,18,Warm Temperate Moist Settlement on Mountains,#695912
3274,Vespa velutina,NA,"La Madeleine, France",inat,3.07,50.65,11.434615384615428,59.30769230769231,27,161,Warm Temperate,Moist,Settlement,Plains,Warm Temperate Moist,163,170,28,Warm Temperate Moist Settlement on Plains,#A3AA1C
