occurrence_id,species,countryCode,location,source,longitude,latitude,tas_mean_c,prec_mean_annual,elevation_m
3038,Vespa velutina,BE,NA,gbif,4.32,51.37,11.388461538461511,63.46153846153846,4
3039,Vespa velutina,BE,NA,gbif,3.72,51.06,NA,NA,8
3040,Vespa velutina,BE,NA,gbif,3.2,50.85,11.357692307692332,60.46153846153846,23
3041,Vespa velutina,NA,"Olesa de Montserrat, Barcelona, Spain",inat,1.88,41.54,14.88076923076926,55.23076923076923,143
3042,Vespa velutina,BE,NA,gbif,4.26,51.03,NA,NA,9
3043,Vespa velutina,BE,NA,gbif,4.44,50.38,10.796153846153857,68.38461538461539,161
3044,Vespa velutina,NA,"Groesbeek, Nederland",inat,5.92,51.79,NA,NA,79
3045,Vespa velutina,NA,"Douai, France",inat,3.06,50.39,11.603846153846176,56.38461538461539,25
3046,Vespa velutina,NA,"Korte Molenstraat, Veenendaal, Utrecht, NL",inat,5.55,52.03,10.957692307692298,67.84615384615384,7
3047,Vespa velutina,BE,NA,gbif,3.32,50.84,11.419230769230808,58.07692307692308,13
3048,Vespa velutina,ES,NA,gbif,1.87,41.55,14.88076923076926,56.61538461538461,194
3049,Vespa velutina,BE,NA,gbif,4.38,50.93,11.326923076923151,57.76923076923077,35
3050,Vespa velutina,NL,NA,gbif,5.75,50.8,NA,NA,97
3051,Vespa velutina,NA,"3000-220 Coimbra, Portugal",inat,-8.43,40.21,15.550000000000068,82.6923076923077,62
3052,Vespa velutina,NA,"Rua das Carvalheiras, Rio Tinto, Norte, PT",inat,-8.55,41.17,15.38076923076926,120.92307692307692,110
3053,Vespa velutina,BE,NA,gbif,4.99,51.07,11.465384615384664,50.76923076923077,21
3054,Vespa velutina,BE,NA,gbif,4.98,51.18,NA,NA,21
3055,Vespa velutina,BE,NA,gbif,5.59,51.04,NA,NA,76
3056,Vespa velutina,BE,NA,gbif,4,51.09,11.465384615384664,58.69230769230769,4
3057,Vespa velutina,NA,"Saint-Pierre, Brest, France",inat,-4.54,48.36,12.380769230769316,99,50
3058,Vespa velutina,NA,"Manac'h, 56000 Vannes, France",inat,-2.78,47.66,12.796153846153912,69.6923076923077,20
3059,Vespa velutina,BE,NA,gbif,4.49,50.77,11.103846153846176,55.84615384615385,105
3060,Vespa velutina,BE,NA,gbif,5.77,51.1,11.51923076923083,55.76923076923077,31
3061,Vespa velutina,NL,NA,gbif,4.3,51.4,NA,NA,0
3062,Vespa velutina,BE,NA,gbif,4.04,50.96,11.465384615384664,55.38461538461539,10
3063,Vespa velutina,NL,NA,gbif,5.65,50.8,NA,NA,97
3064,Vespa velutina,NA,"83220 Le Pradet, France",inat,6.01,43.1,16.442307692307736,40.53846153846154,19
3065,Vespa velutina,BE,NA,gbif,4.48,51.14,11.457692307692357,57.15384615384615,17
3066,Vespa velutina,BE,NA,gbif,2.83,50.82,11.357692307692387,62.07692307692308,25
3067,Vespa velutina,NL,NA,gbif,5.3,51.7,NA,NA,4
3068,Vespa velutina,BE,NA,gbif,4.03,50.94,11.419230769230808,54.84615384615385,14
3069,Vespa velutina,BE,NA,gbif,4.13,51.13,11.326923076923094,61.61538461538461,21
