"longitude","latitude"
6,51.4
4.5,52.3
8.160397,49.441505
7.017589,49.242496
4.529243,51.31994
8.40779,51.94545
3.04021,51.28347
3.97336,50.99274
3.75471,51.05744
10.100165,52.602264
4.554195,50.650029
4.04838,50.76281
3.8,51.45
1.198516,47.581943
6.903965,50.959339
2.14201,48.46384
3.08007,51.29705
4.78214,51.05683
4.4358,51.21701
3.85,51.3
4.80774,50.97451
-3.149482,47.637808
4.61211,51.21717
4.565545,50.979835
7.777175,47.64185
4.55552,50.99354
4.00441,50.71405
2.93958,50.83483
8.755733,51.018665
6.081899,50.784161
3.9,51.25
4.465406,50.840372
5.8,51.85
8.73064,47.41609
4.015946,50.915046
29.545661,61.939741
9.247332,52.10576
4.49949,51.16405
4.75897,50.86423
7.01081,47.06272
4.73058,50.94203
4.43431,51.25324
4.3,51.4
4.13803,51.17184
-8.608697,40.637731
6.3,52.1
3.1574,49.83309
4.43281,51.30976
4.25589,50.48613
6.873455,51.298889
3.95652,50.49249
6.3,52
4.75857,50.92725
4.23175,51.01533
4.33697,51.16965
4.1962,51.06133
4.58636,51.34275
4.55,52.3
3.68573,51.04239
7.581513,50.083297
3.6,51.45
2.95824,51.23576
4.15897,50.84772
8.398393,49.270637
4.23448,50.73185
5.9,51.7
5.45,51.35
8.944283,60.702674
4.3698,50.83672
2.726534,50.864561
3.82971,50.87646
8.174799,49.989463
-3.083265,51.558875
4.34566,50.8136
12.343094,49.367643
3.6871,51.07071
4.75874,50.91228
13.06397,55.6905
7.73756,47.55783
4.2365,50.7072
4.3587,50.788
3.45421,51.08276
13.6181,58.34311
6.32,51.57
5.4,51.65
4.32148,51.21884
-0.864687,51.18207
6.513165,49.805553
3.61414,51.21806
3.1816,50.87663
6.62414,46.52087
3.35065,50.89827
0.560047,52.012496
4.2803,50.85658
4.56666,50.92762
3.952898,50.955622
-2.17653,52.101358
4.37425,50.81976
5.7,50.85
5.85,51.75
4.22843,51.12897
4.79948,51.01952
6.1744,46.24685
1.969647,42.242113
2.64057,51.11052
6.55826,46.56536
13.280921,46.611028
6.697648,43.343937
3.96293,51.1495
12.01662,50.01902
6.11177,46.15616
3.041992,51.027573
10.011366,53.610092
-1.574903,51.991436
8.3092,48.834362
15.19934,59.59115
4.55,52.3
6.256311,51.589779
6.46,51.67
3.21698,50.73587
5.95,50.9
2.70687,51.13979
3.287014,51.339754
4.05711,50.9451
11.467454,47.086578
3.42675,50.90985
7.564814,49.444324
-0.673889,47.819605
5.5,52.2
-2.250676,43.290993
6.05,52.75
4.35,51.8
4.42258,51.25691
1.942924,48.759612
2.280675,50.91021
9.874546,50.77124
3.09807,50.9513
3.22407,51.207
-3.213906,43.375947
10.415838,52.325178
4.377934,50.325313
4.21349,50.89893
4.28799,50.84794
4.45802,51.22856
3.63957,50.87669
3.89207,51.00728
4.3,51.5
3.97407,50.84322
3.23369,50.81049
3.71755,50.84097
13.01838,60.27032
5.4,52.25
4.06273,50.94113
3.19005,51.15093
-1.088478,45.98553
5.89119,50.74501
7.573235,49.615759
4.22752,50.73881
5.15,51.35
5.9,53.2
5.998599,49.5027
6.1723,46.33679
4.51803,51.08782
5.45,52.2
4.3,52.1
4.52602,50.9243
6.75,52.1
10.453354,59.397539
3.34536,50.85305
5.45,51.4
5.65,52
6.307055,49.653622
14.339904,46.623618
6,51.25
4.3048,50.73173
3.78761,51.15174
4.95,51.8
7.837116,48.16846
8.33239,47.37488
7.632706,52.349343
2.91052,51.21953
5.71678,51.03421
4.48361,51.02806
8.482253,49.461587
4.00246,50.73975
9.497344,51.141582
6.8,52.25
3.77093,50.93734
4.84506,50.9421
6,51.1
-2.554566,51.420813
3.57773,50.75373
2.86541,50.99464
7.01117,47.01775
4.52916,50.5912
4.43988,51.21762
5.43961,50.97249
6.68742,46.65625
4.1,51.95
4.31153,50.9504
3.16765,50.83743
3.60688,51.0902
4.16644,50.77713
4.44061,51.29379
21.609968,48.453718
3.15439,49.3531
3.80343,50.595849
3.67818,50.80551
5.65,52.2
10.04022,49.004597
2.333948,47.486461
6.45,53.25
4.1346,51.04291
4.87048,50.78643
4.56176,51.13193
4.12829,51.21034
4.24493,51.23038
9.343872,48.909187
6.55899,46.52039
6.74987,46.88154
4.20711,51.13409
-1.568854,43.481387
9.774085,52.102303
0.66032,47.385818
5.9,51.55
4.65998,51.05824
10.462733,51.569494
3.75758,51.03922
7.134727,51.256138
3.64105,50.95774
21.13037,40.778205
4.669202,51.003301
4.43013,51.20895
6.996054,49.431908
3.29453,50.85018
4.45988,50.8436
3.872901,43.799637
14.255551,46.616315
3.55,51.55
5.10916,50.88263
9.704788,49.998108
9.71612,49.995907
4.75,51.75
4.00842,51.11985
7.594351,50.99602
6.7,53.05
4.25,51.9
3.71256,51.02398
6.3,52.85
3.18049,50.80925
4.51435,51.01085
4.46133,51.02427
5.30782,51.20194
5.45,51.55
4.228337,50.163881
4.38055,50.89745
10.42917,59.382141
8.653871,49.906342
3.547194,51.031136
4.61832,50.98865
4.02071,50.9412
-3.841467,52.623212
3.99782,51.10279
4.85836,51.09692
5.4,51.3
4.75234,50.84882
10.658993,55.065979
4.83461,51.18452
7.605393,50.350308
5.48525,51.02283
3.9,51.5
4.10662,50.89174
6,51.15
12.367931,58.275699
5.7,51.9
3.69741,50.84532
3.70121,50.95726
6.7,53
4.56793,50.69395
3.32924,50.8128
5.75,52.1
4.8,51.75
3.804958,47.051815
6.462879,51.616871
3.62605,50.87449
6.45,53.35
5.9,50.9
4.70923,50.8775
4.16624,51.16754
3.7388,51.17382
11.674057,48.077545
4.69422,51.10759
6.23723,46.3375
3.24327,50.80801
8.093803,45.576558
10.899976,49.524509
3.68332,51.07214
